,inter_api_access_duration(sec),api_access_uniqueness,sequence_length(count),vsession_duration(min),ip_type,num_sessions,num_users,num_unique_apis,source,behavior_type
0,7.010387096774193,0.4193548387096774,31.0,13040,0,1.0,1.0,13.0,0,1
1,51.419392523364486,0.2523364485981308,107.0,330113,0,1.0,1.0,27.0,0,1
2,25.860775,0.275,40.0,62066,0,1.0,1.0,11.0,0,1
3,0.2059090909090909,0.8181818181818182,11.0,136,0,1.0,1.0,9.0,0,1
4,0.122125,0.8125,16.0,118,0,1.0,1.0,13.0,0,1
5,15.32678947368421,0.6842105263157895,19.0,17473,0,1.0,1.0,13.0,0,1
6,0.4011895043731778,0.1341107871720116,343.0,8257,0,2.0,1.0,46.0,0,1
7,15.913862068965518,0.0775862068965517,11.6,110761,0,57.0,10.0,9.0,0,1
8,0.0054375,0.25,2.0,3,0,4.0,4.0,2.0,0,1
9,17.5334,0.19,200.0,210401,0,1.0,1.0,38.0,0,1
10,10.360288888888888,0.2888888888888888,90.0,55946,0,1.0,1.0,26.0,0,1
11,2.20195,0.6,20.0,2643,0,1.0,1.0,12.0,0,1
12,9.4989375,0.5625,32.0,18238,0,1.0,1.0,18.0,0,1
13,40.34403424657534,0.2328767123287671,146.0,353414,0,1.0,1.0,34.0,0,1
14,0.584125,0.75,16.0,561,0,1.0,1.0,12.0,0,1
15,4.781528571428571,0.2357142857142857,280.0,80330,0,1.0,1.0,66.0,0,1
16,7.433645833333333,0.5416666666666666,48.0,21409,0,1.0,1.0,26.0,0,1
17,9.885666666666664,0.4722222222222222,36.0,21354,0,1.0,1.0,17.0,0,1
18,14.549466666666667,0.8666666666666667,15.0,13095,0,1.0,1.0,13.0,0,1
19,0.0288421052631578,0.9473684210526316,19.0,33,0,1.0,1.0,18.0,0,1
20,0.3289743589743589,0.7435897435897436,39.0,770,2,1.0,1.0,29.0,0,1
21,265.94025,0.5,3.0,95739,0,2.0,2.0,3.0,0,1
22,18.450928,0.288,125.0,138382,0,1.0,1.0,36.0,0,1
23,0.02775,1.0,2.0,4,0,2.0,1.0,2.0,0,1
24,2.1126666666666667,1.0,3.0,381,0,1.0,1.0,3.0,0,1
25,16.284328125,0.421875,64.0,62532,0,1.0,1.0,27.0,0,1
26,23.15736363636364,0.2597402597402597,154.0,213975,0,1.0,1.0,40.0,0,1
27,1.510888888888889,0.5925925925925926,27.0,2448,0,1.0,1.0,16.0,0,1
28,683.7524615384615,0.0769230769230769,13.0,533327,0,1.0,1.0,1.0,0,1
29,0.0013680811808118,0.0756457564575645,41.69230769230769,45,0,68.0,13.0,41.0,0,1
30,10.379929054054053,0.2837837837837837,148.0,92174,0,2.0,1.0,42.0,0,1
31,1.736563725490196,0.2254901960784313,102.0,10628,0,1.0,1.0,23.0,0,1
32,4.495993464052288,0.1633986928104575,153.0,41274,0,1.0,1.0,25.0,0,1
33,1.8113636363636365,0.7272727272727273,11.0,1196,1,1.0,1.0,8.0,0,1
34,92.42173333333334,0.4,15.0,83180,0,1.0,1.0,6.0,0,1
35,0.0103333333333333,1.0,3.0,2,0,3.0,1.0,3.0,0,1
36,0.1578888888888888,0.7777777777777778,9.0,86,0,1.0,1.0,7.0,0,1
37,1.73375,1.0,4.0,417,0,1.0,1.0,4.0,0,1
38,1.3914000000000002,0.6,5.0,418,0,2.0,1.0,3.0,0,1
39,0.99075,0.75,12.0,714,0,1.0,1.0,9.0,0,1
40,46.893277108433736,0.3253012048192771,83.0,233529,0,1.0,1.0,27.0,0,1
41,0.1051578947368421,0.7894736842105263,19.0,120,0,1.0,1.0,15.0,0,1
42,0.1671666666666666,0.2108843537414966,294.0,2949,0,3.0,1.0,62.0,0,1
43,0.8027321428571429,0.3839285714285714,112.0,5395,0,3.0,1.0,43.0,0,1
44,0.0140047393364928,0.2606635071090047,211.0,178,0,2.0,1.0,55.0,0,1
45,3.7405263157894737,0.631578947368421,19.0,4265,0,1.0,1.0,12.0,0,1
46,0.0086666666666666,1.0,3.0,2,0,3.0,1.0,3.0,0,1
47,3.0525882352941176,0.8235294117647058,17.0,3114,0,1.0,1.0,14.0,0,1
48,1.7009452332657202,0.0527383367139959,493.0,50314,0,1.0,1.0,26.0,0,1
49,311.66266666666667,1.0,3.0,56100,0,1.0,1.0,3.0,0,1
50,8.258344827586207,0.3103448275862069,29.0,14370,0,1.0,1.0,9.0,0,1
51,0.0547999999999999,1.0,5.0,17,0,1.0,1.0,5.0,0,1
52,0.2636666666666666,0.7777777777777778,9.0,143,0,1.0,1.0,7.0,0,1
53,13.0373,0.1846153846153846,130.0,101691,2,1.0,1.0,24.0,0,1
54,33.98360576923076,0.173076923076923,5.777777777777778,106029,0,24.0,9.0,9.0,0,1
55,5.717899999999999,0.4,10.0,3431,0,1.0,1.0,4.0,0,1
56,0.0019333333333333,0.8,15.0,2,0,15.0,1.0,12.0,0,1
57,5.540164948453608,0.2371134020618556,194.0,64488,0,1.0,1.0,46.0,0,1
58,2.588425,0.75,20.0,3107,0,1.0,1.0,15.0,0,1
59,2.18686052631579,0.2210526315789473,380.0,49861,0,2.0,1.0,84.0,0,1
60,1.5484285714285713,0.8571428571428571,7.0,651,0,1.0,1.0,6.0,0,1
61,18.273676470588235,0.4705882352941176,34.0,37279,0,1.0,1.0,16.0,0,1
62,0.04,1.0,3.0,8,0,1.0,1.0,3.0,0,1
63,43.18502857142857,0.1142857142857142,35.0,90689,0,1.0,1.0,4.0,0,1
64,0.94484,0.52,25.0,1418,0,1.0,1.0,13.0,0,1
65,0.1767826086956521,0.5,46.0,488,0,1.0,1.0,23.0,0,1
66,1.0083170731707318,0.3170731707317073,41.0,2481,2,1.0,1.0,13.0,0,1
67,7.584846153846154,0.6153846153846154,26.0,11833,0,1.0,1.0,16.0,0,1
68,10.473325581395349,0.3953488372093023,43.0,27022,0,1.0,1.0,17.0,0,1
69,3.1817258064516127,0.4354838709677419,62.0,11837,0,1.0,1.0,27.0,0,1
70,20.5308,0.8,5.0,6160,0,1.0,1.0,4.0,0,1
71,0.008,0.5,2.0,1,0,2.0,1.0,1.0,0,1
72,139.05185714285713,0.1428571428571428,7.0,58402,0,1.0,1.0,1.0,0,1
73,0.4595208333333333,0.625,24.0,662,0,1.0,1.0,15.0,0,1
74,5.093666666666667,1.0,3.0,917,0,1.0,1.0,3.0,0,1
75,0.0881111111111111,0.7777777777777778,9.0,48,0,1.0,1.0,7.0,0,1
76,0.8125978835978837,0.164021164021164,189.0,9215,0,1.0,1.0,31.0,0,1
77,0.0856666666666666,1.0,3.0,16,0,1.0,1.0,3.0,0,1
78,0.0001439999999999,0.008,125.0,2,0,121.0,1.0,1.0,0,1
79,128.51939393939395,0.696969696969697,33.0,254469,0,1.0,1.0,23.0,0,1
80,6.22742,0.4,50.0,18683,0,1.0,1.0,20.0,0,1
81,6.64358875,0.0975,400.0,159447,0,1.0,1.0,39.0,0,1
82,9.762,0.7647058823529411,17.0,9958,0,2.0,1.0,13.0,0,1
83,0.1634677419354838,0.8064516129032258,31.0,305,0,1.0,1.0,25.0,0,1
84,0.0171666666666666,0.6666666666666666,18.0,19,0,3.0,1.0,12.0,0,1
85,4.208833333333333,1.0,6.0,1516,0,1.0,1.0,6.0,0,1
86,2.242462962962963,0.074074074074074,54.0,7266,2,1.0,1.0,4.0,0,1
87,0.1806666666666666,0.7777777777777778,9.0,98,0,1.0,1.0,7.0,0,1
88,5.75365,0.55,20.0,6905,0,1.0,1.0,11.0,0,1
89,2.7051494252873565,0.3103448275862069,87.0,14121,0,1.0,1.0,27.0,0,1
90,2.7051494252873565,0.3103448275862069,87.0,14121,0,1.0,1.0,27.0,0,1
91,2.7051494252873565,0.3103448275862069,87.0,14121,0,1.0,1.0,27.0,0,1
92,2.7051494252873565,0.3103448275862069,87.0,14121,0,1.0,1.0,27.0,0,1
93,270.949,0.75,4.0,65028,0,1.0,1.0,3.0,0,1
94,18.88163775510204,0.0714285714285714,10.88888888888889,111025,0,34.0,9.0,7.0,0,1
95,9.230769230769232e-05,0.0615384615384615,13.0,1,0,65.0,5.0,4.0,0,1
96,144.9116,1.0,5.0,43474,0,1.0,1.0,5.0,0,1
97,0.5496060606060607,0.5151515151515151,33.0,1089,0,2.0,1.0,17.0,0,1
98,0.3991303370786517,0.1528089887640449,445.0,10657,0,3.0,1.0,68.0,0,1
99,0.0082121212121212,0.1818181818181818,132.0,66,0,3.0,1.0,24.0,0,1
100,0.5676170212765957,0.4680851063829787,47.0,1601,2,1.0,1.0,22.0,0,1
101,28.934461538461537,0.1025641025641025,78.0,135414,0,1.0,1.0,8.0,0,1
102,1.4295164835164835,0.2637362637362637,91.0,7806,0,1.0,1.0,24.0,0,1
103,1.4295164835164835,0.2637362637362637,91.0,7806,0,1.0,1.0,24.0,0,1
104,1.4295164835164835,0.2637362637362637,91.0,7806,0,1.0,1.0,24.0,0,1
105,1.4295164835164835,0.2637362637362637,91.0,7806,0,1.0,1.0,24.0,0,1
106,9.2808,0.8,5.0,2785,0,1.0,1.0,4.0,0,1
107,38.19834210526316,0.2894736842105263,38.0,87093,0,1.0,1.0,11.0,0,1
108,2.4415652173913043,0.4782608695652174,23.0,3370,0,1.0,1.0,11.0,0,1
109,4e-05,0.0278787878787878,3.767123287671233,2,0,631.0,219.0,23.0,0,1
110,1.486566,0.156,250.0,22299,0,1.0,1.0,39.0,0,1
111,0.03025,1.0,2.0,4,0,2.0,1.0,2.0,0,1
112,0.0550625,0.6875,16.0,53,0,3.0,1.0,11.0,0,1
113,25.759457142857144,0.0857142857142857,35.0,54095,0,1.0,1.0,3.0,0,1
114,7.878709677419355,0.2903225806451613,31.0,14655,0,1.0,1.0,9.0,0,1
115,9.021,0.6363636363636364,11.0,5954,2,1.0,1.0,7.0,0,1
116,1.3133783783783783,0.4594594594594595,37.0,2916,0,1.0,1.0,17.0,0,1
117,3.015375,0.3125,32.0,5790,0,1.0,1.0,10.0,0,1
118,0.18725,0.875,8.0,90,0,1.0,1.0,7.0,0,1
119,60.22128571428572,0.7142857142857143,7.0,25293,0,1.0,1.0,5.0,0,1
120,1.049644,0.36,125.0,7873,0,1.0,1.0,45.0,0,1
121,11.564,0.6666666666666666,6.0,4164,0,1.0,1.0,4.0,0,1
122,7.84319526627219,0.2307692307692307,169.0,79530,0,1.0,1.0,39.0,0,1
123,0.01,0.5,2.0,3,2,2.0,2.0,2.0,0,1
124,202.5755,1.0,4.0,48619,0,1.0,1.0,4.0,0,1
125,144.90314285714288,1.0,7.0,60860,0,1.0,1.0,7.0,0,1
126,2.2147067669172933,0.2218045112781954,266.0,35347,0,2.0,1.0,59.0,0,1
127,984.5016666666668,1.0,3.0,177211,0,1.0,1.0,3.0,0,1
128,1.4659230769230769,0.4615384615384615,13.0,1144,0,3.0,1.0,6.0,0,1
129,2.818590909090909,0.3522727272727273,88.0,14883,0,1.0,1.0,31.0,0,1
130,0.6371,0.65,20.0,765,0,1.0,1.0,13.0,0,1
